suburb,density,property,price,rooms,bedroom,toilets,ensuite,condition,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
1,2,1,450,4,2,2,2,3,23,2,0,0,1,0,1,0,1,1,0,1
103,2,0,420,2,0,1,0,4,14,2,0,0,0,0,1,1,1,1,0,1
65,2,2,3000,15,7,8,7,4,12,2,2,0,1,0,1,1,1,1,0,1
130,2,3,1400,7,4,4,3,4,12,2,2,0,1,1,1,0,1,1,1,1
70,2,2,1200,6,3,2,1,4,12,2,2,0,1,1,1,0,1,0,0,1
23,2,1,1000,5,3,2,1,4,12,2,2,0,1,0,1,1,1,1,1,1
10,2,2,1000,5,3,2,1,4,11,2,1,0,1,0,1,0,1,1,0,0
94,2,3,1000,5,2,1,0,4,14,2,2,0,1,0,1,1,1,1,1,0
103,2,0,400,2,0,1,0,4,14,2,0,0,1,0,1,0,1,1,0,1
34,2,3,2500,13,7,6,2,4,23,2,4,1,1,3,1,0,1,1,0,1
108,2,3,950,5,3,2,1,4,23,2,0,0,0,0,1,1,1,1,0,1
132,0,0,70,2,0,1,0,2,7,1,0,0,0,0,0,0,0,0,0,0
7,2,3,1500,8,4,2,1,4,14,2,0,0,1,0,1,0,1,1,0,1
98,2,3,1500,8,4,3,1,4,12,2,2,0,1,1,1,1,1,1,0,1
166,2,3,1300,7,4,2,1,4,14,2,2,1,1,0,1,1,1,1,0,1
58,2,1,550,3,1,1,0,4,12,2,1,1,1,0,1,0,1,1,0,1
17,2,1,550,3,1,1,1,4,11,2,0,0,1,0,1,0,1,1,0,1
103,2,3,900,5,3,2,1,4,14,2,0,0,1,0,1,0,1,1,0,1
161,2,0,180,1,0,1,1,4,12,2,1,0,1,0,1,1,1,0,0,0
166,2,3,1250,7,5,2,1,4,14,2,1,0,1,2,1,1,1,1,0,1
64,2,1,700,4,2,2,1,4,26,2,0,0,1,0,1,1,1,1,0,1
130,2,1,350,2,1,1,1,4,12,2,0,0,1,0,1,0,1,1,1,1
23,2,3,1200,7,5,3,1,4,12,2,0,0,1,1,1,0,1,0,0,0
103,2,3,1200,7,5,6,5,4,14,2,0,0,0,0,1,1,1,1,0,1
6,2,1,420,4,2,1,0,3,18,2,0,0,1,0,1,0,1,0,0,0
38,3,3,500,4,3,2,1,3,26,2,1,0,1,0,1,0,1,1,0,1
170,1,2,300,4,2,1,0,4,9,2,0,0,1,0,1,0,1,0,0,0
146,1,3,260,4,2,1,0,3,28,0,0,0,0,0,1,0,1,0,0,0
17,2,3,1200,7,4,2,1,4,11,2,0,0,1,0,1,0,1,0,0,1
108,2,3,1200,7,4,2,1,4,23,2,2,0,1,0,1,1,1,1,0,1
